#SampleID,SeedType,Treatment,ColonyCode,ColonySize,ColonyLocation,HandlingScore
1stAmp-NTC_S145_L001,BLANK,BLANK,,,,
2ndAmp-NTC_S146_L001,BLANK,BLANK,,,,
BRA1_S97_L001,Bloodroot,Ant,DW5,55,DeansWoods,4
BRA2_S98_L001,Bloodroot,Ant,DW12,53,DeansWoods,5
BRA3_S99_L001,Bloodroot,Ant,DW11,158,DeansWoods,5
BRA4_S100_L001,Bloodroot,Ant,DW1,167,DeansWoods,3
BRA5_S101_L001,Bloodroot,Ant,DW6,216,DeansWoods,3
BRA6_S102_L001,Bloodroot,Ant,DW10,36,DeansWoods,3
BRA7_S103_L001,Bloodroot,Ant,DW2,456,DeansWoods,5
BRA8_S104_L001,Bloodroot,Ant,DW3,60,DeansWoods,2
BRA9_S105_L001,Bloodroot,Ant,DW9,376,DeansWoods,5
BRA10_S106_L001,Bloodroot,Ant,DW8,47,DeansWoods,4
BRA11_S107_L001,Bloodroot,Ant,DW7,280,DeansWoods,4
BRA12_S108_L001,Bloodroot,Ant,DW4,26,DeansWoods,2
BRA13_S135_L001,Bloodroot,Ant,DW15,15,DeansWoods,3
BRA14_S136_L001,Bloodroot,Ant,U4,30,Unknown,2
BRA15_S137_L001,Bloodroot,Ant,ML020,17,MountainLake,2
BRA16_S138_L001,Bloodroot,Ant,FR057,32,FallsRidge,3
BRC1_S81_L001,Bloodroot,Control,,,,
BRC2_S82_L001,Bloodroot,Control,,,,
BRC3_S83_L001,Bloodroot,Control,,,,
BRC4_S84_L001,Bloodroot,Control,,,,
BRC5_S85_L001,Bloodroot,Control,,,,
BRC6_S86_L001,Bloodroot,Control,,,,
BRC7_S87_L001,Bloodroot,Control,,,,
BRC8_S88_L001,Bloodroot,Control,,,,
BRC9_S89_L001,Bloodroot,Control,,,,
BRC10_S90_L001,Bloodroot,Control,,,,
BRC11_S91_L001,Bloodroot,Control,,,,
BRC12_S92_L001,Bloodroot,Control,,,,
BRC13_S93_L001,Bloodroot,Control,,,,
BRC14_S94_L001,Bloodroot,Control,,,,
BRC15_S95_L001,Bloodroot,Control,,,,
BRC16_S96_L001,Bloodroot,Control,,,,
BRCE1_S45_L001,Bloodroot,ControlNoElaiosome,,,,
BRCE2_S46_L001,Bloodroot,ControlNoElaiosome,,,,
BRCE3_S26_L001,Bloodroot,ControlNoElaiosome,,,,
BRCE4_S27_L001,Bloodroot,ControlNoElaiosome,,,,
BRCE5_S47_L001,Bloodroot,ControlNoElaiosome,,,,
BRCE6_S41_L001,Bloodroot,ControlNoElaiosome,,,,
BRCE7_S28_L001,Bloodroot,ControlNoElaiosome,,,,
BRCE8_S48_L001,Bloodroot,ControlNoElaiosome,,,,
BRCE9_S25_L001,Bloodroot,ControlNoElaiosome,,,,
BRCE10_S39_L001,Bloodroot,ControlNoElaiosome,,,,
BRCE11_S40_L001,Bloodroot,ControlNoElaiosome,,,,
BRCE12_S43_L001,Bloodroot,ControlNoElaiosome,,,,
BRCE13_S37_L001,Bloodroot,ControlNoElaiosome,,,,
BRCE14_S44_L001,Bloodroot,ControlNoElaiosome,,,,
BRCE15_S42_L001,Bloodroot,ControlNoElaiosome,,,,
BRCE16_S38_L001,Bloodroot,ControlNoElaiosome,,,,
JDA1_S109_L001,Twinleaf,Ant,FR005,13,FallsRidge,2
JDA2_S110_L001,Twinleaf,Ant,U8,41,Unknown,2
JDA3_S111_L001,Twinleaf,Ant,U4,30,Unknown,2
JDA4_S112_L001,Twinleaf,Ant,FR057,32,FallsRidge,2
JDA5_S113_L001,Twinleaf,Ant,FR065,10,FallsRidge,2
JDA6_S114_L001,Twinleaf,Ant,BT003,27,BlakeTract,1
JDA7_S115_L001,Twinleaf,Ant,DW15,15,DeansWoods,2
JDA8_S116_L001,Twinleaf,Ant,ML020,17,MountainLake,2
JDA9_S117_L001,Twinleaf,Ant,BT072,29,BlakeTract,2
JDA10_S118_L001,Twinleaf,Ant,DW2018,16,DeansWoods,2
JDA11_S119_L001,Twinleaf,Ant,U3,24,Unknown,4
JDA12_S120_L001,Twinleaf,Ant,BT034,36,BlakeTract,3
JDA13_S121_L001,Twinleaf,Ant,U5,7,Unknown,2
JDA14_S122_L001,Twinleaf,Ant,U7,7,Unknown,2
JDA15_S139_L001,Twinleaf,Ant,BT072,29,BlakeTract,2
JDA16_S144_L001,Twinleaf,Ant,FR065,10,FallsRidge,3
JDC1_S56_L001,Twinleaf,Control,,,,
JDC2_S55_L001,Twinleaf,Control,,,,
JDC3_S54_L001,Twinleaf,Control,,,,
JDC4_S53_L001,Twinleaf,Control,,,,
JDC5_S52_L001,Twinleaf,Control,,,,
JDC6_S51_L001,Twinleaf,Control,,,,
JDC7_S50_L001,Twinleaf,Control,,,,
JDC8_S49_L001,Twinleaf,Control,,,,
JDC9_S73_L001,Twinleaf,Control,,,,
JDC10_S74_L001,Twinleaf,Control,,,,
JDC11_S75_L001,Twinleaf,Control,,,,
JDC12_S76_L001,Twinleaf,Control,,,,
JDC13_S77_L001,Twinleaf,Control,,,,
JDC14_S78_L001,Twinleaf,Control,,,,
JDC15_S79_L001,Twinleaf,Control,,,,
JDC16_S80_L001,Twinleaf,Control,,,,
JDCE1_S5_L001,Twinleaf,ControlNoElaiosome,,,,
JDCE2_S11_L001,Twinleaf,ControlNoElaiosome,,,,
JDCE3_S20_L001,Twinleaf,ControlNoElaiosome,,,,
JDCE4_S15_L001,Twinleaf,ControlNoElaiosome,,,,
JDCE5_S14_L001,Twinleaf,ControlNoElaiosome,,,,
JDCE6_S23_L001,Twinleaf,ControlNoElaiosome,,,,
JDCE7_S12_L001,Twinleaf,ControlNoElaiosome,,,,
JDCE8_S19_L001,Twinleaf,ControlNoElaiosome,,,,
JDCE9_S7_L001,Twinleaf,ControlNoElaiosome,,,,
JDCE10_S6_L001,Twinleaf,ControlNoElaiosome,,,,
JDCE11_S1_L001,Twinleaf,ControlNoElaiosome,,,,
JDCE12_S13_L001,Twinleaf,ControlNoElaiosome,,,,
JDCE13_S17_L001,Twinleaf,ControlNoElaiosome,,,,
JDCE14_S18_L001,Twinleaf,ControlNoElaiosome,,,,
JDCE15_S24_L001,Twinleaf,ControlNoElaiosome,,,,
JDCE16_S8_L001,Twinleaf,ControlNoElaiosome,,,,
WGA1_S123_L001,WildGinger,Ant,DW3,60,DeansWoods,3
WGA2_S124_L001,WildGinger,Ant,DW10,36,DeansWoods,5
WGA3_S125_L001,WildGinger,Ant,DW1,167,DeansWoods,5
WGA4_S126_L001,WildGinger,Ant,DW5,55,DeansWoods,1
WGA5_S127_L001,WildGinger,Ant,DW4,26,DeansWoods,2
WGA6_S128_L001,WildGinger,Ant,DW9,376,DeansWoods,5
WGA7_S129_L001,WildGinger,Ant,DW8,47,DeansWoods,5
WGA8_S130_L001,WildGinger,Ant,DW12,53,DeansWoods,5
WGA9_S131_L001,WildGinger,Ant,DW7,280,DeansWoods,5
WGA10_S132_L001,WildGinger,Ant,DW6,216,DeansWoods,5
WGA11_S133_L001,WildGinger,Ant,DW11,158,DeansWoods,5
WGA12_S134_L001,WildGinger,Ant,DW2,456,DeansWoods,5
WGA13_S140_L001,WildGinger,Ant,U7,7,Unknown,2
WGA14_S141_L001,WildGinger,Ant,U3,24,Unknown,5
WGA15_S142_L001,WildGinger,Ant,U5,7,Unknown,4
WGA16_S143_L001,WildGinger,Ant,DW2018,16,DeansWoods,4
WGC1_S72_L001,WildGinger,Control,,,,
WGC2_S71_L001,WildGinger,Control,,,,
WGC3_S70_L001,WildGinger,Control,,,,
WGC4_S69_L001,WildGinger,Control,,,,
WGC5_S68_L001,WildGinger,Control,,,,
WGC6_S67_L001,WildGinger,Control,,,,
WGC7_S66_L001,WildGinger,Control,,,,
WGC8_S65_L001,WildGinger,Control,,,,
WGC9_S64_L001,WildGinger,Control,,,,
WGC10_S63_L001,WildGinger,Control,,,,
WGC11_S62_L001,WildGinger,Control,,,,
WGC12_S61_L001,WildGinger,Control,,,,
WGC13_S60_L001,WildGinger,Control,,,,
WGC14_S59_L001,WildGinger,Control,,,,
WGC15_S58_L001,WildGinger,Control,,,,
WGC16_S57_L001,WildGinger,Control,,,,
WGCE1_S3_L001,WildGinger,ControlNoElaiosome,,,,
WGCE2_S10_L001,WildGinger,ControlNoElaiosome,,,,
WGCE3_S21_L001,WildGinger,ControlNoElaiosome,,,,
WGCE4_S2_L001,WildGinger,ControlNoElaiosome,,,,
WGCE5_S22_L001,WildGinger,ControlNoElaiosome,,,,
WGCE6_S31_L001,WildGinger,ControlNoElaiosome,,,,
WGCE7_S36_L001,WildGinger,ControlNoElaiosome,,,,
WGCE8_S32_L001,WildGinger,ControlNoElaiosome,,,,
WGCE9_S29_L001,WildGinger,ControlNoElaiosome,,,,
WGCE10_S33_L001,WildGinger,ControlNoElaiosome,,,,
WGCE11_S16_L001,WildGinger,ControlNoElaiosome,,,,
WGCE12_S4_L001,WildGinger,ControlNoElaiosome,,,,
WGCE13_S9_L001,WildGinger,ControlNoElaiosome,,,,
WGCE14_S34_L001,WildGinger,ControlNoElaiosome,,,,
WGCE15_S30_L001,WildGinger,ControlNoElaiosome,,,,
WGCE16_S35_L001,WildGinger,ControlNoElaiosome,,,,
Undetermined_S0_L001,,,,,,
